CF

コード,年度,営業CF,投資CF,財務CF,設備投資,現金同等物,営業CFマージン
1301,2025/03,5843000000,-9036000000,2149000000,-,7514000000,1.93
130A,2024/12,-217944000,-2005988000,848179000,-5702000,173358000,-111.97
1332,2025/03,40379000000,-30393000000,-11452000000,-30995000000,18686000000,4.56
1333,2025/03,39179000000,-1886000000,-29352000000,-20319000000,48422000000,3.63
135A,2025/02,-161000000,-242000000,-69000000,-79704000,488886000,-7.51
1375,2025/03,5519000000,-2252000000,-2159000000,-2205000000,3903000000,10.39
1376,2024/05,2235610000,-486095000,-614308000,-679000000,3265897000,3.63
1377,2024/05,6966000000,-4248000000,-4218000000,-8010000000,20264000000,7.86
1379,2025/03,12222000000,-9012000000,-1721000000,-1655000000,15069000000,14.71
137A,2024/05,157505000,-288000,245640000,-288000,641972000,15.33
1380,2025/03,725072000,-451110000,-4323000,-458427000,968035000,9.11
1381,2024/06,3729000000,-2182000000,-584000000,-2674000000,7115000000,14.43
1382,2024/06,-159782000,-24709000,-41904000,-22523000,351517000,-6.34
1383,2024/10,111461000,-241486000,54646000,-247644000,920359000,1.57
1384,2025/03,3216000000,-2258000000,-663000000,-2144000000,4194000000,16.58
138A,2024/11,209007000,-306290000,526959000,-236393000,1033905000,8.14
1400,2023/12,202435000,-143416000,-,-982000,1326806000,7.61
1401,2024/05,547568000,-277128000,-155817000,-70715000,1537141000,12.57
1407,2024/08,495000000,-10420000000,-8563000000,-10097000000,27818000000,0.98
1414,2024/06,19406000000,2492000000,-9209000000,-1075000000,35304000000,22.72
1417,2025/03,18049000000,-9370000000,-6412000000,-7764000000,51350000000,3.12
1418,2025/02,484878000,-150816000,-196436000,-105048000,1492377000,2.86
1419,2024/05,8284000000,-2010000000,-14553000000,-1997000000,26105000000,3.34
141A,2024/06,59497000000,-26005000000,34503000000,-20266000000,91947000000,8.29
1420,2025/03,-2371000000,-46000000,1210000000,-84556000,9232054000,-5.21
1429,2024/12,-516518000,-338411000,1084955000,-208963000,2263300000,-1.71
142A,2025/03,-128391000,-72390000,240110000,-18233000,1593893000,-5.35
1430,2024/05,-1573804000,-92068000,720969000,-35919000,4117604000,-5.53
1431,2024/06,1102950000,-923324000,2290682000,-260698000,3778388000,7.15
1433,2025/01,-607470000,1482006000,-719139000,-30985000,1599484000,-5.57
1434,2024/08,-851836000,1677386000,-759316000,-91002000,2350632000,-5.75
1435,2024/12,2060929000,-729525000,447064000,-1472720000,6501814000,15.66
1436,2024/04,570493000,-310278000,-728349000,-112025000,1503212000,5.9
1438,2024/09,715786000,-114111000,-42727000,-81132000,2385018000,13.77
1439,2024/12,625000000,-172000000,281000000,-147706000,1970386000,7.73
143A,2025/03,102216000,-89280000,63580000,-600000,1399156000,7.34
1443,2025/03,358360000,-286741000,-532526000,-,1364173000,7.3
1444,2024/07,-68172000,20486000,228692000,-11169000,1335646000,-1.46
1446,2024/09,377866000,-74179000,-303606000,-29177000,1616316000,2.86
1447,2025/03,305192000,-1647104000,-405012000,-671386000,3044362000,1.06
1449,2024/12,2844000,25175000,40958000,-893000,120982000,0.26
1450,2025/03,2141000000,-78000000,-348000000,-27270000,3935515000,17.43
1451,2024/03,1245953000,-170202000,-1357964000,-150000000,4041064000,12.38
145A,2024/12,27817000,-378161000,1211978000,-63471000,1871411000,1.75
146A,2024/12,-14347000000,-1596000000,17085000000,-1669000000,4243000000,-68.38
147A,2025/03,-728000000,-474000000,2451000000,-324018000,8917773000,-8.1
148A,2024/12,21132000,-56496000,375062000,-9806000,1344177000,0.89
1491,2025/03,840310000,-543300000,564235000,-539133000,4141237000,0.52
149A,2024/12,101623000,-64918000,615807000,-84423000,972053000,8.25
150A,2025/03,137000000,-691000000,167000000,-645049000,810824000,3.45
1514,2025/03,26000000,-216000000,-3174000000,-211000000,15351000000,0.25
1515,2025/03,17713000000,-12259000000,-6477000000,-15480000000,37789000000,9
1518,2025/03,4574000000,-11917000000,-10206000000,-,8973000000,7.55
151A,2024/06,626222000,-728415000,362512000,-758474000,2038006000,5.07
153A,2024/12,266220000,-322000,512504000,-322000,1733104000,21.73
155A,2024/12,193789000,-100769000,567959000,-21718000,1816750000,3.31
156A,2024/08,987197000,-176885000,-302578000,-96168000,1122606000,18.69
157A,2024/06,168752000,-74331000,658592000,-54390000,1490070000,8.62
1605,2024/12,654737000000,-290401000000,-349937000000,-410600000000,241675000000,28.9
160A,2025/03,775634000,-4645942000,4457529000,-4607718000,3485113000,4.33
1662,2025/03,130766000000,-107076000000,-38671000000,-90847000000,140931000000,33.61
1663,2024/12,13842000000,-6028000000,-1493000000,-6748000000,28829000000,14.98
166A,2024/09,-1348416000,-2624422000,6844469000,-23696000,14430576000,-2.84
168A,2025/01,283135000,-1049342000,929735000,-1036132000,502336000,7.85
1711,2025/03,-214276000,-973331000,1004688000,-643820000,420014000,-5.31
1712,2025/02,1851000000,-3393000000,504000000,-3391000000,1410000000,9.28
1716,2024/06,2173773000,-1650532000,-481830000,-965417000,9463504000,10.39
1717,2025/03,-213002000,-212097000,-453092000,-157593000,829338000,-3.73
1718,2024/12,660041000,-663671000,598133000,-233367000,2396520000,2.42
1719,2025/03,11176000000,1600000000,-5751000000,-4126000000,55772000000,2.63
1720,2025/03,41203000000,-1595000000,-31878000000,-,39666000000,14.06
1721,2025/03,16625000000,-10215000000,-20217000000,-10482000000,38146000000,2.7
1723,2025/03,8135000000,-4280000000,-1640000000,-481000000,10746000000,18.89
1724,2024/12,-1320000000,-640000000,1727000000,-232000000,948000000,-11.27
1726,2025/03,48000000,-1448000000,1264000000,-1445000000,1680000000,0.12
1730,2024/03,-246644000,-82755000,243459000,-82755000,712454000,-7.86
1734,2023/03,-1798435000,413332000,1378236000,-2022000,1465617000,-13.52
1736,2025/03,3542153000,-922951000,-576986000,-734689000,8341066000,11.27
1738,2025/03,305314000,175220000,-513213000,-314918000,1517636000,2.96
1739,2023/06,2736043000,796773000,-2186345000,-8932000,3169643000,7.65
173A,2025/03,923000000,-366000000,-37000000,-576482000,3165984000,19.61
1743,2024/09,501216000,-182957000,-218073000,-419000000,778118000,4.16
1757,2024/03,-804304000,-497798000,1467140000,-38738000,232144000,-50.89
1758,2025/01,371370000,-437694000,-217681000,-461110000,2970716000,2.75
175A,2024/12,-182322000,-14821000,157841000,-14567000,108053000,-35.56
1762,2025/03,5132000000,-1699000000,5458000000,-1575000000,35723000000,1.48
1764,2024/06,3065723000,-479145000,-626401000,-95000000,3267880000,14.95
1766,2024/04,18185000000,-3975000000,-3366000000,-1748000000,119323000000,5.34
1768,2025/03,-654000000,-472000000,-219000000,-417511000,1305000000,-4.3
176A,2024/06,3798276000,-643082000,-595807000,-1014150000,4758708000,9.81
1770,2025/03,1128664000,-839994000,-1105701000,-433536000,7663185000,3.46
1771,2024/09,1469570000,35334000,-277913000,-352000000,6430156000,8.38
1775,2024/03,3734000000,-854000000,-1973000000,-386000000,24132000000,3.6
1776,2025/03,-3146000000,-600000000,-402000000,-438000000,7027000000,-10.43
1777,2025/03,-,-30000000,-513000000,-32000000,3871000000,-
177A,2025/03,915551000,-1090901000,1376032000,-887496000,2949267000,17.59
1780,2025/03,79698000,-606231000,-283276000,-457607000,12150760000,0.22
1783,2024/09,-3976454000,-706444000,4771646000,-857652000,2676233000,-45.16
1786,2025/03,7803000000,-5211000000,-2895000000,-2445000000,19877000000,12.09
1787,2025/03,692496000,-114200000,-590640000,-125746000,3916164000,4.7
1788,2024/06,-499383000,-65008000,-70566000,-89957000,1294831000,-6.75
1789,2023/09,184296000,-3118000,131793000,-86201000,2464336000,2.28
1793,2025/03,-355000000,1936000000,-9972000000,-306000000,10177000000,-0.51
1795,2024/09,421994000,-501269000,490508000,-11103000,2279284000,4.72
1798,2025/03,3075769000,-363766000,-211868000,-204196000,7529713000,6.12
1799,2025/03,5981560000,-3797862000,-2843297000,-3829289000,17361479000,10.31
1801,2025/03,-13841000000,10531000000,-133769000000,-,295963000000,-0.64
1802,2025/03,85625000000,9596000000,-50593000000,-,380169000000,3.27
1803,2025/03,159094000000,7813000000,-71102000000,-34076000000,438144000000,8.18
1805,2024/03,-9992000000,-1441000000,14912000000,-943000000,23673000000,-7.57
1807,2025/03,-3964389000,-625676000,1997606000,-533446000,5030509000,-9.81
1808,2025/03,3916000000,-32472000000,-20545000000,-,235798000000,0.33
1810,2025/03,7623000000,-177000000,-3073000000,-785000000,12968000000,7.68
1811,2025/03,-7727000000,-26000000,2657000000,-343000000,12538000000,-6.4
1812,2025/03,30632000000,-104836000000,61687000000,-69839000000,349540000000,1.05
1813,2025/03,621000000,-6500000000,5334000000,-,10379000000,0.89
1814,2025/03,-3059000000,808000000,-2066000000,-778000000,4458000000,-3.44
1815,2025/03,-20285000000,615000000,17932000000,-942000000,16529000000,-10.96
1820,2025/03,5889000000,-36250000000,16134000000,-,43403000000,1.61
1821,2025/03,-16707000000,2634000000,-6916000000,-2976000000,68921000000,-3.61
1822,2025/03,11776000000,-876000000,-6621000000,-608000000,21657000000,8.21
1826,2025/03,900000000,-362000000,-371000000,-335000000,14023000000,2.79
1827,2025/03,-4375000000,-398000000,-891000000,-354000000,20046000000,-3.96
1828,2025/03,12925000000,-1278000000,-4171000000,-1348150000,10849000000,25.43
1832,2025/03,4628000000,-1933000000,-419000000,-1876000000,11139000000,6.71
1833,2025/03,-11828000000,-1492000000,12070000000,-,27440000000,-3.97
1835,2025/03,4160881000,-1247143000,-3579313000,-1860293000,15714414000,2.6
1840,2024/10,3224924000,-530706000,818295000,-1731000000,6643019000,9.69
1841,2025/03,1087777000,106055000,-309428000,-98619000,3780004000,10.45
1844,2024/07,1475606000,-135332000,-296426000,-68328000,3353204000,24.67
1847,2025/03,8144000000,-1353000000,75000000,-117000000,19889000000,8.23
1848,2025/03,-2334000000,1701000000,1514000000,-1653000000,3083000000,-6.91
184A,2024/04,63811000,-7176000,-38404000,-4791000,141607000,10.15
1850,2025/03,-6133000000,-137000000,3933000000,-176000000,3932000000,-11.58
1852,2025/03,5184000000,-784000000,-913000000,-611000000,16833000000,3.1
1853,2025/03,-4229000000,-407000000,-466000000,-387000000,4472000000,-14.36
1860,2025/03,26413000000,-61191000000,7364000000,-63628000000,86131000000,4.5
1861,2025/03,8233000000,-11990000000,-16466000000,-4074000000,50156000000,1.65
1866,2025/03,-6169000000,-849000000,-1235000000,-733000000,18027000000,-7.63
1867,2025/03,2649543000,-1083017000,793480000,-1108826000,6215437000,5.23
1869,2025/03,-1426000000,-3308000000,-952000000,-3418000000,11976000000,-1.53
186A,2024/04,-12822877000,-1182820000,4145924000,-1169866000,14196227000,-449.52
1870,2025/03,-17191000000,-255000000,13149000000,-,15619000000,-12.22
1871,2025/03,15952000000,-807000000,-4206000000,-1003000000,22100000000,11.76
1873,2024/04,-1403000000,-237000000,2293000000,-284000000,5457000000,-10.88
1878,2024/03,90876000000,-13114000000,-96787000000,-20350000000,229038000000,5.25
1879,2025/03,2654000000,-34434000000,-3740000000,-430000000,48653000000,2.02
1882,2025/03,-1754000000,-1222000000,1057000000,-2718000000,12308000000,-1.39
1884,2025/03,15117000000,-3896000000,-2640000000,-2970000000,42258000000,9.2
1885,2025/03,-14255000000,93000000,-1250000000,-1803000000,41583000000,-4.31
1887,2024/05,-1263000000,1471000000,-2092000000,-3760000000,21947000000,-0.93
1888,2025/03,-10211000000,-1854000000,6399000000,-1323000000,13217000000,-11.81
1890,2025/03,2822000000,-11191000000,5893000000,-13197000000,21154000000,1.63
1892,2025/03,-6186000000,640000000,2641000000,-102000000,11623000000,-8.65
1893,2025/03,-23331000000,-23216000000,43883000000,-38151000000,56786000000,-3.21
1897,2024/12,650000000,-252000000,-111000000,-46000000,8831000000,6.67
1898,2025/03,-971000000,-1339000000,-3376000000,-1336000000,7751000000,-0.98
1899,2024/12,5877000000,-1979000000,-1369000000,-1616000000,31946000000,3.53
189A,2024/05,-782735000,-20590000,509201000,-2283000,347168000,-65.8
1904,2025/03,560787000,-113911000,1139486000,-865825000,12622738000,0.9
1905,2025/03,3047307000,-792765000,-301844000,-884660000,10198179000,12.85
1909,2025/03,8942000000,-1019000000,-3361000000,-1305696000,9502542000,16.05
190A,2024/08,-1937248000,-10959000,1478797000,-537000,4329624000,-
1911,2024/12,27078000000,-135103000000,133225000000,-80884000000,206297000000,1.32
1914,2025/03,498203000,-1913927000,-258770000,-2161515000,4040585000,1.65
1921,2025/03,4980491000,-4502377000,853961000,-2411858000,11132287000,14.37
1925,2025/03,420561000000,-493370000000,-44682000000,-,326954000000,7.74
1926,2025/03,10354000000,-1896000000,-12399000000,-4770000000,30947000000,8.52
1928,2025/01,62885000000,-697687000000,720967000000,-76693000000,390307000000,1.55
1929,2025/03,4513000000,-4005000000,-1961000000,-1367000000,18151000000,6.71
192A,2024/05,986366000,-109514000,-,-30814000,1915760000,44.88
1930,2025/03,7603000000,-3418000000,-1393000000,-411000000,22261000000,13.67
1934,2025/03,15078000000,-5803000000,-6836000000,-5374000000,47688000000,5.86
1938,2025/03,2040534000,-1185975000,-1442649000,-1829707000,8304766000,2.97
1939,2025/03,-536000000,-1180000000,-4280000000,-1560000000,16308000000,-0.51
1941,2025/03,22754000000,-11525000000,-7643000000,-5534000000,34435000000,10.25
1942,2025/03,18263000000,-10168000000,-12625000000,-14888000000,57835000000,2.72
1944,2025/03,24545000000,3605000000,-24976000000,-,184662000000,3.48
1945,2025/03,-15229000000,-90000000,10655000000,-758000000,7648000000,-22.49
1946,2025/03,19014000000,-3082000000,-13670000000,-6153000000,40299000000,7.02
1948,2025/03,1116000000,-249000000,-1076000000,-200000000,686000000,2.84
1949,2025/03,13794000000,-2887000000,-5353000000,-2078000000,64658000000,6.77
194A,2024/06,857526000,-434280000,-193932000,-445626000,910879000,17.18
1950,2025/03,-4341000000,-5774000000,169000000,-5512000000,25949000000,-2
1951,2025/03,6842000000,-18432000000,2887000000,-18657000000,39413000000,1.02
1952,2025/03,14238000000,2048000000,-10184000000,-601000000,20120000000,10.34
1954,2023/06,8345000000,-2859000000,8298000000,-5753000000,31679000000,5.9
1959,2025/03,8037000000,-8910000000,-23933000000,-3791000000,70437000000,1.7
195A,2025/03,-407000000,-966000000,1305000000,-67111000,543999000,-13.63
1960,2025/03,-1553000000,-591000000,1012000000,-517000000,8819000000,-2.29
1961,2025/03,29725000000,1897000000,-11398000000,-1051000000,43848000000,11.74
1963,2025/03,46761000000,-21172000000,-15049000000,-14411000000,332761000000,5.45
1964,2025/03,-3696000000,654000000,-2701000000,-798000000,4348000000,-10.2
1965,2025/03,4651000000,-159000000,-1790000000,-274000000,11533000000,5.52
1966,2025/03,-645327000,-2458084000,4019776000,-,4926682000,-1.11
1967,2025/03,4534459000,-643213000,-1165071000,-837223000,11331736000,8.53
1968,2025/03,-2525000000,51000000,2622000000,-815000000,42104000000,-2.01
1969,2025/03,5885000000,-1405000000,-12713000000,-,41364000000,1.54
196A,2024/06,-70837000,-91322000,556360000,-73315000,1871801000,-3.75
1971,2023/03,-40051000,-435454000,205992000,-578000000,1196694000,-0.42
1972,2025/03,3563000000,-788000000,-785000000,-652000000,14603000000,7.85
1973,2024/03,20228000000,-4848000000,-10520000000,-2577000000,73507000000,5.63
1975,2025/03,1276000000,612000000,-1528000000,-1516000000,18389000000,1.39
1976,2025/03,6937000000,-500000000,-4692000000,-2000000000,33449000000,10.47
1979,2025/03,-21219000000,-4982000000,1907000000,-,42013000000,-7.68
197A,2024/06,9935074000,-4110382000,2355823000,-4001395000,9424891000,53.89
1980,2025/03,12402000000,-832000000,16044000000,-342000000,50552000000,4.72
1981,2025/03,1108686000,-1035400000,-1221055000,-439189000,6777925000,2.96
1982,2025/03,-616000000,-1795000000,-3765000000,-313000000,22778000000,-0.69
198A,2024/05,320310000,109476000,260000,-3941000,1138225000,33.89
1992,2025/03,471000000,-80000000,-424000000,-56398000,2500047000,6.56
1994,2024/12,-1855382000,-99069000,337576000,-129000000,1028871000,-19.77
1997,2024/08,1556602000,-270024000,-396930000,-10215000,5029891000,17.64
1999,2024/06,493340000,330830000,82112000,-334000000,2728594000,10.55
2001,2025/03,18768000000,-7807000000,-10533000000,-,41471000000,4.57
2002,2025/03,55209000000,-34961000000,-35432000000,-,92005000000,6.48
2003,2025/03,5055000000,-2185000000,-2277000000,-2688000000,10432000000,6.99
2004,2025/03,20274000000,-11385000000,-10057000000,-11528000000,6868000000,6.06
2009,2024/12,1919017000,-389399000,504661000,-617461000,12570520000,7.33
202A,2025/03,1371000000,-180000000,-187000000,-126836000,1832835000,12.99
2053,2025/03,11992000000,-3830000000,772000000,-,11942000000,5.71
2055,2025/03,2444000000,-321000000,-144000000,-448000000,9019000000,5.03
2058,2025/03,502000000,-356000000,24000000,-420000000,1347000000,3.55
205A,2024/05,1087247000,-428833000,-1131324000,-351729000,4484097000,3.43
2060,2025/03,8570000000,-3088000000,-6011000000,-,10287000000,2.89
206A,2024/09,150144000,-244187000,3370055000,-216785000,4392022000,49.13
2107,2025/03,492000000,-995000000,-504000000,-21000000,3596000000,2.67
2108,2025/03,-3090000000,2206000000,-3605000000,-7049000000,8364000000,-4.77
2109,2025/03,22592000000,-5635000000,-1693000000,-4059000000,40099000000,12.64
2112,2025/03,3701000000,-520000000,-2171000000,-559000000,3313000000,11.38
2114,2025/03,3323840000,-1546760000,-376550000,-226766000,6644241000,11.78
2117,2025/03,8927000000,-8977000000,2986000000,-,15445000000,9.2
211A,2024/07,876591000,-64940000,466855000,-102520000,2443971000,13.54
2120,2024/09,1671000000,-718000000,-2977000000,-454000000,14633000000,6.35
2121,2025/03,27476000000,-14490000000,-10378000000,-,108174000000,17.74
2122,2024/09,836881000,-332729000,-156584000,-324995000,5953973000,10.58
2124,2024/12,8119000000,-607000000,-5313000000,-239000000,19051000000,20.74
2127,2025/03,13116000000,11982000000,-8753000000,-71174000,38715594000,29.76
212A,2024/10,1758026000,-552642000,-50869000,-448251000,2500684000,26.34
2130,2025/03,1211351000,-49664000,-923620000,-61143000,4014913000,5.42
2134,2025/03,-1579277000,-420038000,2193113000,-178622000,256472000,-225.29
2136,2025/03,217000000,-95000000,-444000000,-45169000,3432998000,3.64
2137,2025/03,-338000000,59000000,-78000000,-15541000,2758004000,-11.11
2138,2025/03,-1033055000,-6328488000,4629136000,-123481000,9403989000,-7.28
2139,2025/03,7000000,-246000000,-22000000,-55790000,540370000,0.06
2146,2025/03,5681000000,5867000000,-9140000000,-404000000,31708000000,2.92
2148,2025/03,1840000000,-1175000000,-2044000000,-,6562002000,22.71
2150,2024/12,1823903000,-1767265000,-1573685000,-95000000,7166081000,16.31
2151,2023/03,5972000000,-5191000000,177000000,-8529000000,14952000000,12.97
2152,2025/03,922000000,-360000000,-248000000,-51627000,9251185000,13.04
2153,2024/05,3940000000,-941000000,-1058000000,-276000000,17935000000,10.59
2154,2024/06,19177000000,-5029000000,-8889000000,-875000000,21506000000,11.07
2156,2025/03,52545000,-10585000,93972000,-19523000,677811000,2.5
2157,2024/08,12581323000,-10413981000,-3123575000,-8609644000,6750659000,19.89
2158,2025/03,753274000,-254031000,-913281000,-284044000,2594862000,12.35
215A,2024/10,1183639000,-284335000,3343471000,-138038000,12238870000,4.4
2160,2024/12,-3164422000,-10361330000,694161000,-522835000,10115037000,-13.4
2162,2025/03,1371215000,-899688000,-1252598000,-1007932000,3779982000,1.81
2163,2025/01,1180000000,-49000000,-819000000,-53650000,4588976000,10.61
2164,2024/08,127867000,-59531000,29713000,-56759000,572176000,4.29
2168,2024/05,7397000000,94252000000,-12879000000,-20171000000,137047000000,2.07
2169,2024/12,990695000,-116184000,-564320000,-101799000,4074349000,9.44
2170,2024/12,5638000000,-1938000000,-2486000000,-816000000,8607000000,15.05
2172,2024/06,115215000,-79732000,-128749000,-9672000,463063000,4.56
2173,2024/12,1100793000,-169320000,-816530000,-137129000,2642641000,5.84
2175,2025/03,5806000000,-4071000000,-4148000000,-4071000000,15253000000,9.53
2179,2025/03,1012000000,-338000000,-166000000,-540246000,2167403000,7.08
2180,2024/06,655385000,-120301000,-470532000,-124333000,3169418000,3.66
2181,2025/03,68854000000,-29765000000,-63878000000,-5139000000,82818000000,4.74
2183,2025/03,595000000,-45000000,-939000000,-8646000,7039571000,5.7
2185,2024/09,2099272000,-3114949000,-649299000,-2442000000,11830926000,10.75
2186,2025/02,844000000,270000000,-259000000,-18111000,3801033000,9.72
218A,2024/07,-253351000,-9158000,715082000,-9158000,1061245000,-31.07
2193,2024/12,1522487000,192601000,-2341630000,-205000000,12083662000,25.91
2195,2024/12,474644000,-514486000,-108993000,-659072000,2729355000,9.62
2196,2025/03,926336000,-198469000,-1312909000,-585313000,4375566000,3.54
2198,2024/10,3950005000,-308147000,-1923394000,-730000000,6635741000,16.98
219A,2024/10,-1343039000,-67130000,2118845000,-14022000,5297166000,-153.73
2201,2025/03,10763000000,-9837000000,-18008000000,-15897000000,30845000000,4.7
2204,2025/03,5165354000,-653747000,-3032451000,-787716000,2615667000,13.87
2206,2024/12,1812000000,-10255000000,-39246000000,-10600000000,56610000000,0.55
2207,2025/03,4236000000,960000000,-4365000000,-3522000000,7194000000,15.09
2208,2025/03,6527000000,-6475000000,-2227000000,-6821000000,17391000000,5.75
2209,2025/03,6068603000,-1833573000,-4083678000,-1830369000,1516238000,11.87
220A,2024/09,223611000,-1312000,268871000,-1484000,2298508000,9.65
2211,2024/12,4260000000,-6905000000,1746000000,-9010000000,7016000000,3.87
2212,2024/12,73974000000,-43492000000,-15038000000,-52050000000,145939000000,5.94
2215,2024/12,952000000,3896000000,-3842000000,-670000000,3930000000,3.5
2216,2024/12,4398439000,-2169710000,-1009273000,-2548913000,4981259000,13.84
2217,2025/01,-618320000,-622213000,-1822737000,-,3594650000,-1.72
2218,2025/03,758181000,-492283000,-178777000,-,1626316000,4.11
2220,2025/03,9442000000,-7830000000,-1215000000,-7789000000,8120000000,9.14
2221,2025/03,3939691000,-2066378000,-653709000,-1997377000,4059479000,15.79
2222,2025/03,13204000000,-3438000000,-7372000000,-3187000000,25081000000,18.25
2224,2025/03,30000000,-307000000,-109000000,-302197000,271448000,0.42
2226,2025/03,-150000000,-6757000000,3666000000,-6825000000,3567000000,-0.25
2229,2025/03,39100000000,-28604000000,2541000000,-29513000000,51019000000,12.12
2264,2025/03,-12456000000,-18786000000,-5028000000,-,28559000000,-2.22
2266,2024/12,3668380000,-1650000000,-1500131000,-494664000,6179881000,8.55
2267,2025/03,84687000000,-61020000000,-31466000000,-,193117000000,16.95
2268,2024/12,3540288000,-3242209000,1335016000,-3085060000,8033572000,11.54
2269,2025/03,68979000000,-40636000000,-61671000000,-56623000000,66398000000,5.98
2270,2025/03,21100000000,-18512000000,-10375000000,-,21319000000,3.43
2281,2025/03,14211000000,-13574000000,-4202000000,-12043000000,6266000000,3.1
2282,2025/03,77441000000,-42717000000,-29851000000,-,71557000000,5.65
2286,2025/03,1114000000,885000000,-1355000000,-671000000,3146000000,2.26
2288,2025/03,5396000000,-2884000000,-3196000000,-,8983000000,2.3
228A,2024/11,438878000,-69930000,771300000,-69689000,1766770000,20.85
2291,2025/03,-239000000,-354000000,-220000000,-327000000,1700000000,-0.97
2292,2025/02,7375000000,-15016000000,-2031000000,-11625000000,41276000000,1.66
2293,2025/03,3148000,-496935000,-190487000,-391113000,1081563000,0.01
2294,2024/04,1410000000,-1152000000,-895000000,-1239000000,10108000000,3.81
2296,2025/03,10016000000,-20642000000,7468000000,-21261000000,20581000000,1.01
2300,2025/02,393418000,-85675000,-253287000,-46021000,414534000,7.31
2301,2024/10,1633788000,177713000,-1264982000,-695185000,3929331000,15.23
2303,2024/05,414663000,-129512000,-149177000,-17588000,928985000,27.63
2304,2024/09,605316000,-53867000,-420164000,-79000000,906589000,3.43
2305,2025/02,6336000000,-2516000000,-2678000000,-2011254000,19056726000,17.8
2307,2025/03,692000000,-28000000,-319000000,-80034000,2683140000,4.27
2309,2023/09,10449000000,2136000000,-1606000000,-4951000000,19032000000,9.98
2311,2024/12,321772000,-395355000,213914000,-70752000,1699697000,5.74
2315,2024/10,282852000,-386873000,-246486000,0,698977000,5.04
2317,2025/03,7979000000,-2576000000,-14024000000,-,21464000000,9.54
231A,2024/09,639424000,-36823000,374997000,-24569000,2226662000,14.82
2321,2025/03,60000000,-14000000,1167000000,-20383000,1419489000,7.29
2323,2025/03,190529000,-1217378000,875498000,-5275000,661061000,15.03
2325,2024/12,1787973000,-373482000,-957200000,-320743000,17681274000,7.91
2326,2025/03,2817000000,-1107000000,-2096000000,-1070000000,17952000000,28.22
2327,2025/03,37207000000,70249000000,-18805000000,-,192931000000,11
2329,2025/03,44000000,23200000000,-6631000000,-303000000,59809000000,0.1
2330,2024/12,163900000,-596922000,639926000,-36318000,1404029000,3.07
2331,2025/03,42647000000,-15550000000,-36309000000,-17776000000,60018000000,7.73
2332,2025/03,590000000,91000000,-265000000,-2442000,3531256000,3.95
2334,2025/03,-18000000,-83000000,220000000,-105337000,375712000,-0.51
2335,2025/03,255000000,-68000000,-780000000,-39000000,6213000000,1.39
2337,2025/02,-28449000000,5358000000,19567000000,-5129000000,42576000000,-34.04
2338,2025/02,-520781000,-11815000,531512000,-207000,136130000,-74.61
2340,2025/03,2195000000,-1205000000,-957000000,-972855000,2897639000,14.48
2341,2025/02,97947000,-146282000,-98943000,-160771000,1979102000,2.35
2342,2024/03,-392453000,-280928000,-342689000,-265668000,2466101000,-3
2344,2025/03,1384000000,-3902000000,-382000000,-794040000,5605393000,13.06
2345,2024/10,-628155000,-301266000,942779000,-120584000,1541653000,-38.93
2349,2025/03,2768000000,-506000000,-302000000,-220552000,15489827000,11.09
2351,2025/03,415820000,-721932000,432963000,-474756000,989514000,15.17
2353,2024/07,6198564000,-7357988000,6492748000,-5547000000,16375776000,18.96
2354,2025/02,1286400000,-238945000,-323241000,-278749000,3196971000,6.45
2359,2025/03,2372799000,49425000,-1136228000,-132201000,7586071000,9.65
2370,2024/09,-1271195000,65143000,1460899000,-46446000,4651181000,-165.41
2371,2025/03,27404000000,-2939000000,-11302000000,-698000000,50859000000,34.94
2372,2024/03,446000000,-2783000000,163000000,-4350000000,7224000000,2.51
2373,2024/10,709853000,-1019850000,782006000,-2172000000,3076769000,1.56
2374,2025/03,1720501000,-993748000,-1562153000,-955388000,7186572000,3.06
2375,2024/10,-452822000,-256471000,-300190000,-392355000,1743911000,-1.78
2376,2025/03,334532000,-592482000,-381875000,-144249000,4124471000,2.03
2378,2025/03,3510362000,-3158918000,1086231000,-3428265000,7680354000,5.51
2379,2025/02,16453896000,-5249683000,-12164322000,-5444475000,15156176000,29.18
2384,2024/12,15807000000,-16723000000,-1293000000,-14738000000,28436000000,3.53
2385,2024/06,-880822000,-14292000,-260715000,-14200000,4790024000,-17.08
2388,2024/09,-15444000,-148657000,-25366000,-193000,511589000,-1.79
2389,2024/12,6920000000,395000000,-4678000000,-151000000,21741000000,42.84
2391,2024/07,625487000,-267729000,-285104000,-460927000,2647903000,19.72
2393,2025/03,1389000000,-1170000000,-189000000,-1062862000,740611000,4.34
2395,2025/03,7035243000,-11691221000,5914147000,-10932735000,11843986000,21.7
2397,2025/03,84000000,-61000000,-632000,-58372000,410616000,7.7
2404,2024/08,425900000,-221377000,-346077000,-266000000,738605000,6.02
2408,2024/12,-293174000,167770000,-295133000,-30000000,664443000,-11.88
2410,2024/09,859187000,-838998000,-1842156000,-759907000,2612308000,4.84
2411,2025/03,510000000,-132000000,-121000000,-52000000,3687000000,6.64
2412,2024/03,8238000000,-3373000000,-6457000000,-3435000000,8475000000,21.14
2413,2025/03,51743000000,-39149000000,-27165000000,-6290000000,134933000000,18.16
2415,2025/03,1523120000,-1378046000,-1464098000,-1480852000,27836939000,1.52
2418,2024/12,10394000000,-11132000000,2730000000,-10500000000,21094000000,16.36
