財務

コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率
3758,2024/12,20263000000,8581000000,8219000000,22000000,928000000,4258000000,395.14,41.3
3760,2024/05,14357237000,6786213000,4893065000,5289902000,60000000,771199000,830.87,34.9
3762,2025/03,105441000000,29996604000,24207000000,18912936000,510000000,1750000000,602.63,23
3763,2025/03,11380000000,8894000000,8678039000,12437906000,-,-,704.97,76.8
3765,2024/12,175464000000,153535000000,125624000000,195670000000,-,-,2280.74,72.6
3766,2025/03,6394000000,4616000000,4603764000,4010902000,-,-,1350.54,72.2
3768,2025/03,7139000000,5982000000,5101944000,3196694000,350100000,-,788.06,82.4
3769,2024/09,344702455000,105819284000,102895070000,62712063000,24340000000,8915000000,1356.6,29.9
3770,2024/04,6202494000,5677289000,5639493000,4359582000,-,-,472.45,91.5
3771,2025/03,17526000000,11829000000,11804450000,10960530000,-,566664000,712.95,67.3
3772,2025/03,62102000000,19398000000,19397574000,15262187000,719962000,23849462000,1011.42,31.2
3773,2025/03,15970000000,12307000000,12122477000,2025764000,-,1060700000,788.93,77.1
3774,2025/03,312435000000,142086000000,140683000000,79885000000,33616000000,-,795.19,45
3775,2024/12,2340265000,1264522000,908307000,-725338000,91667000,221795000,246.3,53.7
3776,2024/12,19791957000,12000959000,8379996000,938437000,500000000,1646867000,140.92,43.7
3777,2024/12,3508000000,3199000000,3169321000,37891000,20000000,6888000,10.94,90.3
3778,2025/03,81419000000,30257000000,29931026000,9177688000,9261668000,3154471000,751.36,36.9
3779,2025/03,3191000000,731000000,598622000,171874000,207600000,-,53.21,19.3
3782,2023/12,1754446000,937939000,935651000,-2126261000,-,-,19.39,53.5
3784,2023/12,22182000000,14829000000,13608921000,11954683000,175348000,24162000,817.54,63.4
3787,2025/03,1843000000,1762000000,1770763000,-2422588000,-,-,679.77,95.6
3788,2024/12,18027023000,9487193000,7649408000,6995840000,-,1842500000,823.97,52.5
3791,2024/05,14001674000,7318048000,7277023000,4654407000,-,-,381.1,52.1
3793,2025/03,13506000000,4719000000,4656665000,890527000,100000000,2888700000,162.48,34.6
3796,2025/03,2349000000,1872000000,1872662000,664686000,-,-,271.35,79.7
3798,2025/03,13570000000,10479000000,9781000000,8713000000,-,-,1780,72.2
3799,2025/03,10779000000,7569000000,7470011000,5420752000,-,-,906.61,70.2
3800,2025/03,15366000000,11971000000,11459990000,9159340000,-,-,1577.94,77.9
3802,2025/03,1969000000,1801000000,1750273000,786824000,-,-,383.77,91.4
3803,2025/03,614000000,308000000,277220000,30226000,-,3600000,140.92,46.2
3804,2024/10,6963255000,4505578000,4501887000,3533030000,-,193374000,703.02,64.7
3807,2024/12,1784298000,240502000,10886000,-530698000,8000000,-,5.12,13.1
3808,2024/06,1430380000,185891000,190394000,-1673591000,-,-,3.96,11.3
3810,2024/05,2045000000,1152000000,1009000000,-5409000000,-,10000000,86.29,54.6
3814,2024/09,1444076000,75856000,74029000,-1488550000,337122000,624473000,18.92,5.1
3815,2024/08,2651230000,1045088000,1045088000,685269000,-,617869000,103.69,39.4
3816,2024/07,6121045000,5101027000,4768590000,4140952000,-,44122000,1316.16,83.3
3817,2025/03,51448000000,31103000000,27243000000,22854000000,70000000,-,2438.2,59.9
3823,2024/08,1534030000,776617000,717786000,-3663149000,45768000,415058000,10,48.8
3824,2024/05,716756000,359740000,359740000,5013000,15000000,104760000,382.7,50.2
3825,2025/03,20543000000,17911000000,17906000000,7868000000,200000000,111000000,145.68,87.2
3826,2025/02,4981000000,4116000000,4110561000,3475704000,-,-,376.59,82.5
3830,2024/04,14981086000,8837392000,8799494000,9525852000,-,1061243000,612.65,58.7
3834,2025/03,14787000000,13091000000,12862000000,14101000000,-,-,487.58,88.5
3835,2025/03,8112000000,7357000000,7255394000,7741704000,-,-,163.84,90.7
3836,2024/06,21896905000,13293728000,12994141000,13763738000,-,-,362.95,60.7
3837,2025/03,9885000000,7074000000,6212966000,5769324000,-,-,395.2,69.8
3839,2025/03,9253000000,6304000000,6089145000,4771474000,381366000,714405000,771.02,68.1
3840,2025/03,3252000000,2474000000,2456275000,-2308176000,95000000,180942000,33.47,75.5
3841,2025/03,4273000000,3594000000,3594265000,1966937000,-,-,933.74,84.1
3842,2025/03,3536000000,2172000000,2170085000,319421000,-,288819000,701.93,61.4
3843,2024/04,38183589000,15196827000,11463975000,8693075000,300000000,7629384000,582.26,30.5
3844,2025/03,25611000000,18468000000,18457000000,13874000000,200000000,-,579.14,72.1
3845,2025/03,1392000000,859000000,855315000,121892000,-,214116000,40.08,61.4
3847,2025/03,9752000000,6683000000,6494272000,5477451000,-,-,4517.44,68.5
3848,2025/03,6179000000,4775000000,4436447000,4106622000,50000000,44561000,769.06,77.3
3849,2025/03,1346000000,1177000000,1168064000,352354000,-,-,730.78,87.5
3850,2025/03,9272000000,5117000000,5086587000,3999325000,-,-,1051.7,55.2
3851,2025/03,11154000000,7868000000,6633296000,5562240000,650000000,974410000,1533.44,69.6
3853,2025/03,7858000000,6239482000,6105000000,1120010000,100000000,-,363.23,77.7
3854,2024/07,14153941000,9680682000,9626300000,8962032000,-,-,386.75,68.4
3856,2025/03,145802000000,43338000000,24266000000,18683000000,32310000000,10381000000,1358.44,16.6
3857,2024/03,23770000000,15404700000,15381176000,7685432000,-,-,510.51,64.8
3858,2025/03,3459000000,2402000000,2292418000,-644427000,-,36824000,229.67,69.4
3861,2025/03,2635030000000,1132791000000,816060000000,671980000000,236227000000,445161000000,1177.99,41.8
3863,2025/03,1703308000000,510435000000,330974000000,11547000000,231334000000,560682000000,4175.76,28.3
3864,2025/03,208217000000,85282000000,63914000000,21233000000,42014000000,19864000000,1945.13,40.9
3865,2025/03,418882000000,265870000000,229228000000,151825000000,27170000000,35198000000,1575.9,63.3
3877,2025/03,121888000000,55941000000,53370000000,19267000000,28603000000,8494000000,4533.01,46.7
3878,2025/03,46087000000,19630000000,12267000000,9179000000,6877000000,5198000000,1511.69,33.1
3880,2025/03,886066000000,249713000000,207139000000,101348000000,13767000000,298131000000,1422.45,26.7
3891,2025/03,35269000000,23903000000,23201074000,17274390000,1500000000,4535230000,2269.04,67.8
3892,2024/05,17822850000,12236475000,9995780000,8903949000,-,-,2643.3,68.7
3895,2025/03,12309000000,7264000000,7227761000,6091510000,-,904522000,930.51,59
3896,2025/03,27188000000,7583000000,3732196000,1085821000,2396602000,9074030000,533.25,19.6
3900,2024/09,13537082000,7304460000,6839190000,1165598000,1432225000,601508000,436.71,50.8
3901,2024/12,8753470000,6617038000,6516272000,5853939000,-,-,500.22,75.6
3902,2024/12,4749108000,3154541000,3092726000,2756070000,-,-,81.71,65.1
3903,2024/04,19332572000,12242620000,10284663000,-3158534000,1000000000,633783000,301.84,61.8
3904,2024/12,12875219000,6027468000,5516347000,3471632000,450000000,1991975000,342.63,42.9
3905,2025/03,4593000000,2400000000,2282996000,-2196537000,950832000,226745000,130.74,50.4
3907,2024/11,2945000000,1738000000,1739000000,-450000000,-,184000000,627.8,59
3908,2025/03,1735000000,1291000000,1261897000,754150000,10000000,50000000,271.1,72.7
3909,2024/12,3486185000,1294889000,795597000,-932061000,900000000,722335000,92.81,22.8
3910,2025/03,2440000000,674000000,667428000,246695000,300000000,539670000,122.97,27.3
3911,2024/12,8154200000,6064243000,5790060000,-1015775000,-,-,124.04,71
3912,2024/12,4218441000,3407363000,3405160000,4065266000,-,-,451.49,80.7
3913,2024/12,1304834000,1191057000,1145972000,-76127000,-,-,510.73,91.3
3914,2024/12,4855417000,3153557000,2929991000,2751625000,-,350006000,459.62,62.9
3915,2025/02,19470000000,12839000000,8953816000,5800091000,200000000,2286000,857.93,56.9
3916,2024/06,10217287000,7058310000,6863813000,6783090000,-,179580000,465.51,68.1
3917,2025/03,5936000000,2548000000,2459437000,-449161000,500000000,747500000,315.46,41.4
3918,2025/03,15900000000,9452000000,9031381000,3680383000,-,285800000,906.91,56.5
3920,2024/09,3329495000,1991786000,1969028000,1325738000,800000000,-,360.21,59.8
3921,2025/01,9240000000,6313000000,6197231000,5699099000,-,-,450.67,68.3
3922,2025/02,8241000000,6904000000,6826422000,6010403000,-,-,506.74,82.9
3923,2025/03,31654000000,21977000000,20949000000,20259000000,-,-,121.3,69.4
3924,2025/03,8348000000,5994000000,5899091000,5129779000,-,-,332.75,71.6
3925,2025/03,7526000000,6382000000,6382788000,6071755000,-,-,472.24,84.8
3926,2025/03,4802000000,4344000000,4589787000,3485773000,-,-,139.53,90.1
3927,2025/03,5604000000,1729000000,1522850000,148664000,-,275006000,285.77,27.3
3928,2024/12,4840352000,1517320000,1365703000,15604000,-,800000000,164.99,28.8
3929,2025/03,2521000000,1575000000,1551287000,-378678000,-,139962000,131.76,61.2
3930,2024/07,2909178000,2559474000,2546436000,2205857000,-,-,866.28,88
3931,2025/01,2647000000,1125000000,1119196000,362386000,750000000,164185000,621.32,42.4
3932,2025/03,54632000000,41455000000,40032000000,34734000000,-,3100000000,2851.06,75.3
3933,2025/03,10614000000,3841000000,3083905000,3075248000,392372000,1415751000,413.66,29.1
3934,2025/03,11861000000,7940000000,7925181000,7137371000,400000000,1285000000,1349.4,66.8
3935,2025/02,2997000000,1371000000,1370193000,605333000,237400000,489637000,221.08,45.7
3936,2025/03,1772000000,1175000000,710086000,-836697000,235000000,-,19.66,40.4
3937,2025/03,7870000000,5601000000,5537000000,3838765000,100000000,-,476.87,70.4
3939,2024/09,6175564000,3834813000,3825850000,3906669000,-,580437000,80.81,62.1
3940,2024/12,3698965000,3248614000,3248544000,2662737000,-,-,70,87.8
3941,2025/03,1243116000000,500244000000,354065000000,300680000000,157722000000,174717000000,1872.24,37.3
3943,2025/03,26692000000,18724000000,17858000000,17973000000,525000000,-,2395.67,69.9
3944,2024/12,20652182000,10241784000,6699572000,4050235000,1230000000,1588566000,8434.53,45.4
3945,2025/03,14600000000,4730000000,4228000000,1984000000,1147000000,1726000000,3180.38,32.3
3946,2025/03,206825000000,93371000000,85119000000,64509000000,10096000000,50328000000,5631.64,44.8
3947,2024/12,76537630000,46046711000,35050211000,14876879000,3555963000,-,4606.87,59.9
3948,2024/12,11099153000,9335818000,8931393000,7718244000,-,-,1680.03,84.1
3950,2024/12,103292000000,74485000000,71437000000,69259000000,-,49000000,3964.46,72.1
3951,2025/03,70462000000,35572000000,32278825000,29324420000,99288000,11773703000,1613.86,48.6
3952,2025/03,15236000000,13279000000,12366630000,10380554000,-,-,2673.63,87.2
3953,2025/03,6877000000,4880000000,4811272000,3691254000,-,-,1370.2,71
3954,2025/03,33384000000,24279000000,18801113000,17979321000,1179214000,31171000,5341.87,70.2
3955,2025/01,23351000000,16758000000,15453000000,13380000000,2090000000,100000000,1663.26,70.9
3958,2024/06,15414307000,9465018000,7210868000,6823272000,300000000,100446000,1643.23,61.4
3961,2024/12,1521525000,1420239000,1413221000,853107000,-,-,474.74,92.9
3962,2025/03,104790000000,49673000000,41254000000,24117000000,5838000000,26883000000,592.91,39.4
3963,2025/03,6130000000,5326000000,5324880000,3730220000,-,-,184.97,86.9
3964,2024/12,44040655000,26166242000,25227272000,20518859000,-,-,542.04,58.8
3965,2024/09,5660565000,3296182000,3037757000,1268537000,500000000,441878000,561.29,56.9
3967,2025/02,7383000000,1868000000,1810441000,-809687000,699997000,2166549000,301.9,24.7
3968,2024/12,13633110000,3193028000,2898617000,2832614000,80887000,1652657000,94.22,21.9
3969,2025/03,6267000000,5137000000,5064370000,3820936000,-,-,676.4,80.8
3970,2025/03,8321000000,4067000000,3426723000,1107015000,2200000000,155267000,1278.66,40.7
3974,2024/10,2938749000,1946580000,1947999000,2238524000,-,116840000,686.19,66.2
3976,2024/10,2169482000,-52542000,-68361000,-812970000,-,61151000,-18.31,-2.7
3977,2025/02,728000000,361000000,358035000,81778000,-,156658000,248.53,49.2
3978,2024/06,89205000000,45799000000,40741000000,27993000000,698000000,29800000000,1077.68,45.7
3979,2025/03,6240000000,3028000000,3026830000,969602000,-,118325000,437.62,48.5
3981,2024/12,17294580000,7486535000,7481492000,4712788000,2000000000,1785000000,1343.75,43.3
3983,2024/12,13590184000,10281625000,10283756000,8202954000,-,-,641.09,75.7
3984,2024/06,8835192000,7724850000,7724850000,5179057000,-,-,477.91,87.4
3985,2024/09,1541557000,700567000,664016000,481656000,200000000,295019000,62.16,43.1
3986,2024/06,2228199000,1645457000,1645457000,1150891000,-,-,1081.33,73.9
3987,2024/08,2584187000,863980000,863884000,-350352000,420220000,287490000,163.94,33.4
3988,2024/07,6610281000,3363515000,3365850000,2621840000,300000000,629124000,321.04,50.9
3989,2024/09,6319015000,3908311000,3889837000,2404131000,-,-,167.35,61.6
3990,2024/09,9832199000,3660933000,3602680000,2024308000,3500000000,-,180.62,36.6
3991,2024/08,5268202000,4005697000,3991864000,3395400000,-,-,420.7,75.8
3992,2024/09,5653434000,4230436000,4111594000,3212165000,-,30304000,111.34,74.6
3993,2024/09,41696338000,32333057000,32245476000,7498782000,918570000,2796080000,1039.29,77.3
3994,2024/11,106191905000,44675756000,33453493000,-8993878000,10062000000,7896950000,647.62,33.3
3995,2024/01,4555000000,1467000000,1454978000,283785000,-,87820000,134.25,31.9
3996,2025/02,2897000000,1803000000,1803061000,385950000,6650000,147774000,140.98,62.2
3997,2024/12,2904276000,1278645000,1278645000,664450000,430000000,305020000,371.12,44
3998,2024/12,2637020000,2263346000,2242759000,1819239000,-,-,347.89,85
4004,2024/12,2172626000000,692006000000,664616000000,318643000000,137862000000,858399000000,4794.07,30.6
4005,2024/03,3934818000000,1164366000000,965753000000,578175000000,585905000000,977581000000,590.33,24.5
4006,2023/03,252544000000,-117263000000,-144050000000,-152677000000,45491000000,222477000000,-824.88,-51
4008,2025/03,141532000000,94312000000,83800000000,69685000000,13328000000,5000000000,7195.7,66.6
4011,2024/12,1800388000,1272595000,1250081000,503632000,-,-,333.73,70.4
4012,2024/12,4772881000,3563886000,3563886000,3346277000,-,-,842.21,74.7
4013,2024/12,12814312000,9370295000,9357535000,2302697000,-,1915342000,477.48,73.1
4014,2024/07,1035683000,352650000,352597000,-40288000,-,200000000,56.18,34
4015,2024/08,8262802000,4215460000,4154415000,-1659302000,316640000,1096135000,264.34,50.2
4016,2024/11,2442674000,663904000,655648000,348913000,-,257599000,334.2,27.2
4017,2025/02,3366000000,1105000000,1104000000,-1398724000,-,185142000,163.77,32.8
